Sentence,NegPos
Ürünü kargo teslim süresi içerisinde teslim aldým. Aldýðým ürün ekranin sað ve sol iki taratan yukarýdan aþaðýya doðru ince ince beyaz noktalar çizgi halinde. Bundan ötürü memnun kalmadým ürünü iade edip deðiþtirilmesini istiyorum.,0
Elime ulaþtýðý ilk gün kullanmaya baþladým bir kaç saat içinde alet kapandý ve açýlmadý. Amazona olan güvenim sarsýldý..,0
Ýncecik bir ssd disk a3 zarf içerisine konur mu? Ýlk defa böyle birþey gördüm. Cihaz ezilmiþ ve yamulmuþ halde geldi.,0
Ýlanda ürün korea yazýyor gelen ürün cin malý yazýyor ürün hiç çalýþmadý yani arýzalý çýktý geri iade edeceðim,0
Büyük hevesle almama raðmen ürün bozuk çýktý..iade edilmesine raðmen param hala yatmadý,0
Fiyat performans ve güncel sayýlabilecek iþletim sistemi ile güzel tablet.,1
Güzel fp ürünü çok memnun kaldým tskler,1
Macbook Pro mid. 2012 bilgisayarým için aldým. Bilgisayarýmýn açýlýþ ve kullaným hýzý oldukça arttý. Ürün gerçekten çok kaliteli. Piyasadaki en iyi fiyatý sunan Amazon.com.tr ye teþekkürler.,1
Windows10 sýfýrdan yüklemesi 1dk sürdü pc açýlýsý 1 sn sürüyor varýn hýzýný siz hesap edin. 250gb yerine 500 gb alýnabilir,1
Bilgisayar þuan aldýðýmdan 5 kat daha hýzlý. Ayrýyeten PC den çýkan harddiskiniz için harddisk kutusu alýp takýn harici olarak taþýyýn. Veya CD rom yerine þuanki harddiskinizi takýp ikisini de kullanabilirsiniz.,1
